,s80,p80,SAR
426,0.04,0.24,0.35
427,0.04,0.24,0.36
428,0.04,0.24,0.37
429,0.04,0.24,0.38
430,0.04,0.24,0.39
431,0.04,0.24,0.4
432,0.04,0.24,0.41
433,0.04,0.24,0.42
434,0.04,0.24,0.43
435,0.04,0.24,0.44
436,0.04,0.24,0.45
437,0.04,0.24,0.46
438,0.04,0.24,0.47
439,0.04,0.24,0.48
440,0.04,0.24,0.49
441,0.04,0.24,0.5
442,0.04,0.24,0.51
443,0.04,0.24,0.52
444,0.04,0.24,0.53
445,0.04,0.24,0.54
446,0.04,0.24,0.55
447,0.04,0.24,0.56
448,0.04,0.24,0.57
449,0.04,0.24,0.58
450,0.04,0.24,0.59
451,0.04,0.24,0.6
452,0.04,0.26,0.26
453,0.04,0.26,0.27
454,0.04,0.26,0.28
455,0.04,0.26,0.29
456,0.04,0.26,0.3
457,0.04,0.26,0.31
458,0.04,0.26,0.32
459,0.04,0.26,0.33
460,0.04,0.26,0.34
461,0.04,0.26,0.35
462,0.04,0.26,0.36
463,0.04,0.26,0.37
464,0.04,0.26,0.38
465,0.04,0.26,0.39
466,0.04,0.26,0.4
467,0.04,0.26,0.41
468,0.04,0.26,0.42
469,0.04,0.26,0.43
470,0.04,0.26,0.44
471,0.04,0.26,0.45
472,0.04,0.26,0.46
473,0.04,0.26,0.47
474,0.04,0.26,0.48
475,0.04,0.26,0.49
476,0.04,0.26,0.5
477,0.04,0.26,0.51
478,0.04,0.26,0.52
479,0.04,0.26,0.53
480,0.04,0.26,0.54
481,0.04,0.26,0.55
482,0.04,0.26,0.56
483,0.04,0.26,0.57
484,0.04,0.26,0.58
485,0.04,0.26,0.59
486,0.04,0.26,0.6
487,0.04,0.28,0.26
488,0.04,0.28,0.27
489,0.04,0.28,0.28
490,0.04,0.28,0.29
491,0.04,0.28,0.3
492,0.04,0.28,0.31
493,0.04,0.28,0.32
494,0.04,0.28,0.33
495,0.04,0.28,0.34
496,0.04,0.28,0.35
497,0.04,0.28,0.36
498,0.04,0.28,0.37
499,0.04,0.28,0.38
500,0.04,0.28,0.39
501,0.04,0.28,0.4
502,0.04,0.28,0.41
503,0.04,0.28,0.42
504,0.04,0.28,0.43
505,0.04,0.28,0.44
506,0.04,0.28,0.45
507,0.04,0.28,0.46
508,0.04,0.28,0.47
509,0.04,0.28,0.48
510,0.04,0.28,0.49
511,0.04,0.28,0.5
512,0.04,0.28,0.51
513,0.04,0.28,0.52
514,0.04,0.28,0.53
515,0.04,0.28,0.54
516,0.04,0.28,0.55
517,0.04,0.28,0.56
518,0.04,0.28,0.57
519,0.04,0.28,0.58
520,0.04,0.28,0.59
521,0.04,0.28,0.6
522,0.04,0.3,0.27
523,0.04,0.3,0.28
524,0.04,0.3,0.29
525,0.04,0.3,0.3
526,0.04,0.3,0.31
527,0.04,0.3,0.32
528,0.04,0.3,0.33
529,0.04,0.3,0.34
530,0.04,0.3,0.35
531,0.04,0.3,0.36
532,0.04,0.3,0.37
533,0.04,0.3,0.38
534,0.04,0.3,0.39
535,0.04,0.3,0.4
536,0.04,0.3,0.41
537,0.04,0.3,0.42
538,0.04,0.3,0.43
539,0.04,0.3,0.44
540,0.04,0.3,0.45
541,0.04,0.3,0.46
542,0.04,0.3,0.47
543,0.04,0.3,0.48
544,0.04,0.3,0.49
545,0.04,0.3,0.5
546,0.04,0.3,0.51
547,0.04,0.3,0.52
548,0.04,0.3,0.53
549,0.04,0.3,0.54
550,0.04,0.3,0.55
551,0.04,0.3,0.56
552,0.04,0.3,0.57
553,0.04,0.3,0.58
554,0.04,0.3,0.59
555,0.04,0.3,0.6
556,0.04,0.32,0.27
557,0.04,0.32,0.28
558,0.04,0.32,0.29
559,0.04,0.32,0.3
560,0.04,0.32,0.31
561,0.04,0.32,0.32
562,0.04,0.32,0.33
563,0.04,0.32,0.34
564,0.04,0.32,0.35
565,0.04,0.32,0.36
566,0.04,0.32,0.37
567,0.04,0.32,0.38
568,0.04,0.32,0.39
569,0.04,0.32,0.4
570,0.04,0.32,0.41
571,0.04,0.32,0.42
572,0.04,0.32,0.43
573,0.04,0.32,0.44
574,0.04,0.32,0.45
575,0.04,0.32,0.46
576,0.04,0.32,0.47
577,0.04,0.32,0.48
578,0.04,0.32,0.49
579,0.04,0.32,0.5
580,0.04,0.32,0.51
581,0.04,0.32,0.52
582,0.04,0.32,0.53
583,0.04,0.32,0.54
584,0.04,0.32,0.55
585,0.04,0.32,0.56
586,0.04,0.32,0.57
587,0.04,0.32,0.58
588,0.04,0.32,0.59
589,0.04,0.32,0.6
590,0.04,0.34,0.28
591,0.04,0.34,0.29
592,0.04,0.34,0.3
593,0.04,0.34,0.31
594,0.04,0.34,0.32
595,0.04,0.34,0.33
596,0.04,0.34,0.34
597,0.04,0.34,0.35
598,0.04,0.34,0.36
599,0.04,0.34,0.37
600,0.04,0.34,0.38
601,0.04,0.34,0.39
602,0.04,0.34,0.4
603,0.04,0.34,0.41
604,0.04,0.34,0.42
605,0.04,0.34,0.43
606,0.04,0.34,0.44
607,0.04,0.34,0.45
608,0.04,0.34,0.46
609,0.04,0.34,0.47
610,0.04,0.34,0.48
611,0.04,0.34,0.49
612,0.04,0.34,0.5
613,0.04,0.34,0.51
614,0.04,0.34,0.52
615,0.04,0.34,0.53
616,0.04,0.34,0.54
617,0.04,0.34,0.55
618,0.04,0.34,0.56
619,0.04,0.34,0.57
620,0.04,0.34,0.58
621,0.04,0.34,0.59
622,0.04,0.34,0.6
623,0.04,0.36,0.29
624,0.04,0.36,0.3
625,0.04,0.36,0.31
626,0.04,0.36,0.32
627,0.04,0.36,0.33
628,0.04,0.36,0.34
629,0.04,0.36,0.35
630,0.04,0.36,0.36
631,0.04,0.36,0.37
632,0.04,0.36,0.38
633,0.04,0.36,0.39
634,0.04,0.36,0.4
635,0.04,0.36,0.41
636,0.04,0.36,0.42
637,0.04,0.36,0.43
638,0.04,0.36,0.44
639,0.04,0.36,0.45
640,0.04,0.36,0.46
641,0.04,0.36,0.47
642,0.04,0.36,0.48
643,0.04,0.36,0.49
644,0.04,0.36,0.5
645,0.04,0.36,0.51
646,0.04,0.36,0.52
647,0.04,0.36,0.53
648,0.04,0.36,0.54
649,0.04,0.36,0.55
650,0.04,0.36,0.56
651,0.04,0.36,0.57
652,0.04,0.36,0.58
653,0.04,0.36,0.59
654,0.04,0.36,0.6
655,0.04,0.38,0.29
656,0.04,0.38,0.3
657,0.04,0.38,0.31
658,0.04,0.38,0.32
659,0.04,0.38,0.33
660,0.04,0.38,0.34
661,0.04,0.38,0.35
662,0.04,0.38,0.36
663,0.04,0.38,0.37
664,0.04,0.38,0.38
665,0.04,0.38,0.39
666,0.04,0.38,0.4
667,0.04,0.38,0.41
668,0.04,0.38,0.42
669,0.04,0.38,0.43
670,0.04,0.38,0.44
671,0.04,0.38,0.45
672,0.04,0.38,0.46
673,0.04,0.38,0.47
674,0.04,0.38,0.48
675,0.04,0.38,0.49
676,0.04,0.38,0.5
677,0.04,0.38,0.51
678,0.04,0.38,0.52
679,0.04,0.38,0.53
680,0.04,0.38,0.54
681,0.04,0.38,0.55
682,0.04,0.38,0.56
683,0.04,0.38,0.57
684,0.04,0.38,0.58
685,0.04,0.38,0.59
686,0.04,0.38,0.6
687,0.04,0.4,0.3
688,0.04,0.4,0.31
689,0.04,0.4,0.32
690,0.04,0.4,0.33
691,0.04,0.4,0.34
692,0.04,0.4,0.35
693,0.04,0.4,0.36
694,0.04,0.4,0.37
695,0.04,0.4,0.38
696,0.04,0.4,0.39
697,0.04,0.4,0.4
698,0.04,0.4,0.41
699,0.04,0.4,0.42
700,0.04,0.4,0.43
701,0.04,0.4,0.44
702,0.04,0.4,0.45
703,0.04,0.4,0.46
704,0.04,0.4,0.47
705,0.04,0.4,0.48
706,0.04,0.4,0.49
707,0.04,0.4,0.5
708,0.04,0.4,0.51
709,0.04,0.4,0.52
710,0.04,0.4,0.53
711,0.04,0.4,0.54
712,0.04,0.4,0.55
713,0.04,0.4,0.56
714,0.04,0.4,0.57
715,0.04,0.4,0.58
716,0.04,0.4,0.59
717,0.04,0.4,0.6
718,0.04,0.42,0.3
719,0.04,0.42,0.31
720,0.04,0.42,0.32
721,0.04,0.42,0.33
722,0.04,0.42,0.34
723,0.04,0.42,0.35
724,0.04,0.42,0.36
725,0.04,0.42,0.37
726,0.04,0.42,0.38
727,0.04,0.42,0.39
728,0.04,0.42,0.4
729,0.04,0.42,0.41
730,0.04,0.42,0.42
731,0.04,0.42,0.43
732,0.04,0.42,0.44
733,0.04,0.42,0.45
734,0.04,0.42,0.46
735,0.04,0.42,0.47
736,0.04,0.42,0.48
737,0.04,0.42,0.49
738,0.04,0.42,0.5
739,0.04,0.42,0.51
740,0.04,0.42,0.52
741,0.04,0.42,0.53
742,0.04,0.42,0.54
743,0.04,0.42,0.55
744,0.04,0.42,0.56
745,0.04,0.42,0.57
746,0.04,0.42,0.58
747,0.04,0.42,0.59
748,0.04,0.42,0.6
749,0.04,0.44,0.31
750,0.04,0.44,0.32
751,0.04,0.44,0.33
752,0.04,0.44,0.34
753,0.04,0.44,0.35
754,0.04,0.44,0.36
755,0.04,0.44,0.37
756,0.04,0.44,0.38
757,0.04,0.44,0.39
758,0.04,0.44,0.4
759,0.04,0.44,0.41
760,0.04,0.44,0.42
761,0.04,0.44,0.43
762,0.04,0.44,0.44
763,0.04,0.44,0.45
764,0.04,0.44,0.46
765,0.04,0.44,0.47
766,0.04,0.44,0.48
767,0.04,0.44,0.49
768,0.04,0.44,0.5
769,0.04,0.44,0.51
770,0.04,0.44,0.52
771,0.04,0.44,0.53
772,0.04,0.44,0.54
773,0.04,0.44,0.55
774,0.04,0.44,0.56
775,0.04,0.44,0.57
776,0.04,0.44,0.58
777,0.04,0.44,0.59
778,0.04,0.44,0.6
779,0.04,0.46,0.31
780,0.04,0.46,0.32
781,0.04,0.46,0.33
782,0.04,0.46,0.34
783,0.04,0.46,0.35
784,0.04,0.46,0.36
785,0.04,0.46,0.37
786,0.04,0.46,0.38
787,0.04,0.46,0.39
788,0.04,0.46,0.4
789,0.04,0.46,0.41
790,0.04,0.46,0.42
791,0.04,0.46,0.43
792,0.04,0.46,0.44
793,0.04,0.46,0.45
794,0.04,0.46,0.46
795,0.04,0.46,0.47
796,0.04,0.46,0.48
797,0.04,0.46,0.49
798,0.04,0.46,0.5
799,0.04,0.46,0.51
800,0.04,0.46,0.52
801,0.04,0.46,0.53
802,0.04,0.46,0.54
803,0.04,0.46,0.55
804,0.04,0.46,0.56
805,0.04,0.46,0.57
806,0.04,0.46,0.58
807,0.04,0.46,0.59
808,0.04,0.46,0.6
809,0.04,0.48,0.32
810,0.04,0.48,0.33
811,0.04,0.48,0.34
812,0.04,0.48,0.35
813,0.04,0.48,0.36
814,0.04,0.48,0.37
815,0.04,0.48,0.38
816,0.04,0.48,0.39
817,0.04,0.48,0.4
818,0.04,0.48,0.41
819,0.04,0.48,0.42
820,0.04,0.48,0.43
821,0.04,0.48,0.44
822,0.04,0.48,0.45
823,0.04,0.48,0.46
824,0.04,0.48,0.47
825,0.04,0.48,0.48
826,0.04,0.48,0.49
827,0.04,0.48,0.5
828,0.04,0.48,0.51
829,0.04,0.48,0.52
830,0.04,0.48,0.53
831,0.04,0.48,0.54
832,0.04,0.48,0.55
833,0.04,0.48,0.56
834,0.04,0.48,0.57
835,0.04,0.48,0.58
836,0.04,0.48,0.59
837,0.04,0.48,0.6
838,0.04,0.5,0.32
839,0.04,0.5,0.33
840,0.04,0.5,0.34
841,0.04,0.5,0.35
842,0.04,0.5,0.36
843,0.04,0.5,0.37
844,0.04,0.5,0.38
845,0.04,0.5,0.39
846,0.04,0.5,0.4
847,0.04,0.5,0.41
848,0.04,0.5,0.42
849,0.04,0.5,0.43
850,0.04,0.5,0.44
851,0.04,0.5,0.45
852,0.04,0.5,0.46
853,0.04,0.5,0.47
854,0.04,0.5,0.48
855,0.04,0.5,0.49
856,0.04,0.5,0.5
857,0.04,0.5,0.51
858,0.04,0.5,0.52
859,0.04,0.5,0.53
860,0.04,0.5,0.54
861,0.04,0.5,0.55
862,0.04,0.5,0.56
863,0.04,0.5,0.57
864,0.04,0.5,0.58
865,0.04,0.5,0.59
866,0.04,0.5,0.6
867,0.04,0.52,0.32
868,0.04,0.52,0.33
869,0.04,0.52,0.34
870,0.04,0.52,0.35
871,0.04,0.52,0.36
872,0.04,0.52,0.37
873,0.04,0.52,0.38
874,0.04,0.52,0.39
875,0.04,0.52,0.4
876,0.04,0.52,0.41
877,0.04,0.52,0.42
878,0.04,0.52,0.43
879,0.04,0.52,0.44
880,0.04,0.52,0.45
881,0.04,0.52,0.46
882,0.04,0.52,0.47
883,0.04,0.52,0.48
884,0.04,0.52,0.49
885,0.04,0.52,0.5
886,0.04,0.52,0.51
887,0.04,0.52,0.52
888,0.04,0.52,0.53
889,0.04,0.52,0.54
890,0.04,0.52,0.55
891,0.04,0.52,0.56
892,0.04,0.52,0.57
893,0.04,0.52,0.58
894,0.04,0.52,0.59
895,0.04,0.52,0.6
896,0.04,0.54,0.33
897,0.04,0.54,0.34
898,0.04,0.54,0.35
899,0.04,0.54,0.36
900,0.04,0.54,0.37
901,0.04,0.54,0.38
902,0.04,0.54,0.39
903,0.04,0.54,0.4
904,0.04,0.54,0.41
905,0.04,0.54,0.42
906,0.04,0.54,0.43
907,0.04,0.54,0.44
908,0.04,0.54,0.45
909,0.04,0.54,0.46
910,0.04,0.54,0.47
911,0.04,0.54,0.48
912,0.04,0.54,0.49
913,0.04,0.54,0.5
914,0.04,0.54,0.51
915,0.04,0.54,0.52
916,0.04,0.54,0.53
917,0.04,0.54,0.54
918,0.04,0.54,0.55
919,0.04,0.54,0.56
920,0.04,0.54,0.57
921,0.04,0.54,0.58
922,0.04,0.54,0.59
923,0.04,0.54,0.6
924,0.04,0.56,0.33
925,0.04,0.56,0.34
926,0.04,0.56,0.35
927,0.04,0.56,0.36
928,0.04,0.56,0.37
929,0.04,0.56,0.38
930,0.04,0.56,0.39
931,0.04,0.56,0.4
932,0.04,0.56,0.41
933,0.04,0.56,0.42
934,0.04,0.56,0.43
935,0.04,0.56,0.44
936,0.04,0.56,0.45
937,0.04,0.56,0.46
938,0.04,0.56,0.47
939,0.04,0.56,0.48
940,0.04,0.56,0.49
941,0.04,0.56,0.5
942,0.04,0.56,0.51
943,0.04,0.56,0.52
944,0.04,0.56,0.53
945,0.04,0.56,0.54
946,0.04,0.56,0.55
947,0.04,0.56,0.56
948,0.04,0.56,0.57
949,0.04,0.56,0.58
950,0.04,0.56,0.59
951,0.04,0.56,0.6
952,0.04,0.58,0.33
953,0.04,0.58,0.34
954,0.04,0.58,0.35
955,0.04,0.58,0.36
956,0.04,0.58,0.37
957,0.04,0.58,0.38
958,0.04,0.58,0.39
959,0.04,0.58,0.4
960,0.04,0.58,0.41
961,0.04,0.58,0.42
962,0.04,0.58,0.43
963,0.04,0.58,0.44
964,0.04,0.58,0.45
965,0.04,0.58,0.46
966,0.04,0.58,0.47
967,0.04,0.58,0.48
968,0.04,0.58,0.49
969,0.04,0.58,0.5
970,0.04,0.58,0.51
971,0.04,0.58,0.52
972,0.04,0.58,0.53
973,0.04,0.58,0.54
974,0.04,0.58,0.55
975,0.04,0.58,0.56
976,0.04,0.58,0.57
977,0.04,0.58,0.58
978,0.04,0.58,0.59
979,0.04,0.58,0.6
980,0.04,0.6,0.34
981,0.04,0.6,0.35
982,0.04,0.6,0.36
983,0.04,0.6,0.37
984,0.04,0.6,0.38
985,0.04,0.6,0.39
986,0.04,0.6,0.4
987,0.04,0.6,0.41
988,0.04,0.6,0.42
989,0.04,0.6,0.43
990,0.04,0.6,0.44
991,0.04,0.6,0.45
992,0.04,0.6,0.46
993,0.04,0.6,0.47
994,0.04,0.6,0.48
995,0.04,0.6,0.49
